S_NO,TRADE_DATE,MARKET,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
,2026-04-30,TTF,45.67499677,45.71000000,45.76356000,45.74067000,45.82230000,45.60789000,45.35935000,45.34274000,45.11666000,44.75067000,43.25773000,37.31300000,35.18444000,34.35433000,34.21892000,34.25321000,34.39379000,34.49702000,34.39335000,34.77683000,34.64148000,34.10336000,32.18305000,27.83813000,26.11481000,25.59782000,25.77461000,25.76171000,25.82747000,25.88334000,26.27750000,26.67166000,26.71583000,26.76915000,26.51285000,23.28968000
,2026-04-30,JKM,16.90995000,17.36821000,17.45710000,17.41849000,17.26388000,16.88079000,16.63471000,16.81882000,16.50609000,16.19218000,15.26159000,13.33166000,12.50206000,12.42397000,12.51268000,12.58576000,12.62090000,12.84300000,12.74280000,13.01317000,12.62709000,12.44905000,11.78504000,10.26702000,9.66929000,9.49542000,9.56596000,9.56976000,9.60124000,9.62928000,9.77712000,9.92519000,9.97458000,10.00181000,9.91909000,8.78151000
,2026-04-29,THE,47.21500000,47.27500000,47.56468000,47.63666000,47.78267000,47.94929000,47.86533000,48.01654000,48.02476000,47.67384000,46.10693000,39.53448000,37.76447000,37.10323000,36.41992000,36.45496000,36.59862000,37.51579000,37.40999000,37.80132000,37.33045000,36.78221000,34.82579000,29.92551000,28.16941000,27.22542000,27.46200000,27.58767000,28.22391000,28.49497000,28.89456000,29.07734000,29.02103000,28.93079000,28.52719000,24.95632000
,2026-04-29,JKM,17.20646000,17.35658000,17.74693000,17.70772000,17.54083000,17.06517000,16.83415000,16.98474000,16.72237000,16.51320000,15.50780000,13.47990000,12.77630000,12.75725000,12.72479000,12.79758000,12.83265000,13.03717000,12.93578000,13.20755000,12.79981000,12.61849000,11.94435000,10.35707000,9.75306000,9.57704000,9.66681000,9.67008000,9.70116000,9.68458000,9.83264000,9.98089000,10.06894000,10.09567000,10.01147000,8.71493000
,2026-04-29,TTF,46.69000000,46.70000000,46.68500000,46.66166000,46.70912000,46.51686000,46.24033000,46.20024000,46.04976000,45.69884000,44.13193000,37.88448000,36.11447000,35.45323000,34.96992000,35.00496000,35.14862000,35.20329000,35.09749000,35.48882000,35.29295000,34.74471000,32.78829000,28.22663000,26.47926000,25.95505000,26.18940000,26.17630000,26.24311000,26.17391000,26.57250000,26.97109000,27.12665000,27.18079000,26.92054000,23.23132000
,2026-04-28,JKM,16.03761000,16.22101000,16.54924000,16.54844000,16.41597000,15.94328000,15.69346000,15.91605000,15.64970000,15.44929000,14.47941000,12.93750000,12.26043000,12.25082000,12.23573000,12.30728000,12.34015000,12.54766000,12.42192000,12.68844000,12.37100000,12.19578000,11.54498000,10.25585000,9.65806000,9.48366000,9.56954000,9.57256000,9.60330000,9.65350000,9.80097000,9.94866000,10.01949000,10.04609000,9.96226000,8.71675000
,2026-04-28,TTF,43.20000000,43.31000000,43.33583000,43.28168000,43.35858000,43.24908000,42.99185000,43.01849000,42.93011000,42.60297000,41.14221000,36.16576000,34.47605000,33.84482000,33.55775000,33.59138000,33.72924000,33.86563000,33.76386000,34.14031000,33.99000000,33.46200000,31.57781000,27.87750000,26.15175000,25.63403000,25.85706000,25.84413000,25.91010000,26.03109000,26.42750000,26.82391000,26.93126000,26.98501000,26.72664000,23.18971000
,2026-04-28,THE,43.73000000,43.89000000,44.08877000,44.25589000,44.42587000,44.64478000,44.56685000,44.77186000,44.85511000,44.52797000,43.06721000,37.81576000,36.12605000,35.49482000,35.00775000,35.04138000,35.17924000,36.17813000,36.07636000,36.45281000,36.02750000,35.49950000,33.61531000,29.57464000,27.84026000,26.90765000,27.13299000,27.25716000,27.88573000,28.40192000,28.79932000,28.98064000,28.87491000,28.78501000,28.38401000,24.91471000
,2026-04-27,JKM,16.47214000,16.80738000,16.93063000,16.90311000,16.78614000,16.31293000,16.06551000,16.25701000,16.03270000,15.83042000,14.86885000,13.31910000,12.46293000,12.53789000,12.50413000,12.55831000,12.57411000,12.81048000,12.64808000,12.88117000,12.62156000,12.44289000,11.77839000,10.36249000,9.75808000,9.58181000,9.67059000,9.67366000,9.70469000,9.68152000,9.82935000,9.97745000,10.04840000,10.07506000,9.99088000,8.77779000
,2026-04-27,TTF,44.38000000,44.42000000,44.42777000,44.43889000,44.48445000,44.37077000,44.11792000,44.12351000,44.00937000,43.67383000,42.23846000,37.24903000,35.04723000,34.65867000,34.31783000,34.30067000,34.38822000,34.60570000,34.39833000,34.67817000,34.62088000,34.08308000,32.16391000,28.11113000,26.37091000,25.84885000,26.07945000,26.06641000,26.13294000,26.04586000,26.44250000,26.83914000,26.94629000,27.00007000,26.74156000,23.30440000
,2026-04-27,THE,44.85500000,44.99500000,45.15642000,45.39424000,45.53517000,45.76199000,45.69292000,45.88130000,45.93437000,45.59883000,44.16346000,38.89903000,36.69723000,36.30867000,35.76783000,35.75067000,35.83822000,36.91820000,36.71083000,36.99067000,36.65838000,36.12058000,34.20141000,29.80943000,28.06052000,27.12029000,27.35316000,27.47833000,28.11203000,28.41673000,28.81436000,28.99579000,28.89002000,28.80007000,28.39885000,25.02940000
,2026-04-24,TTF,44.89500000,44.86500000,44.95500000,44.95500000,45.09300000,44.88770000,44.63190000,44.63756000,44.62596000,44.26395000,42.78725000,37.93350000,35.69125000,35.29554000,35.08245000,35.06490000,35.15441000,35.34663000,35.13481000,35.42065000,35.35733000,34.80809000,32.84810000,28.95900000,27.16630000,26.62849000,26.71663000,26.70327000,26.77143000,26.74029000,27.14750000,27.55471000,27.65270000,27.70789000,27.44260000,23.40336000
,2026-04-24,THE,45.41000000,45.49000000,45.70225000,46.00096000,46.30733000,46.45115000,46.38190000,46.57311000,46.62596000,46.26395000,44.78725000,39.60850000,37.36625000,36.97054000,36.55745000,36.53990000,36.62941000,37.65913000,37.44731000,37.73315000,37.39483000,36.84559000,34.88560000,30.73692000,28.93526000,27.96625000,28.05822000,28.18663000,28.83658000,29.11289000,29.52112000,29.70785000,29.59996000,29.50789000,29.09638000,25.12836000
,2026-04-24,JKM,16.61787000,16.95422000,17.03097000,16.90006000,16.76503000,16.23563000,16.03748000,16.22896000,16.11568000,15.87906000,14.97971000,13.50612000,12.63765000,12.71050000,12.74681000,12.80099000,12.81764000,13.04523000,12.88174000,13.11724000,12.85576000,12.67365000,11.99614000,10.64064000,10.01943000,9.83818000,9.87695000,9.88017000,9.91194000,9.90872000,10.06032000,10.21216000,10.27994000,10.30736000,10.22113000,8.79723000
,2026-04-23,THE,44.65000000,44.71500000,44.80720000,45.07799000,45.28739000,45.47910000,45.27043000,45.44469000,45.37699000,44.91931000,43.53459000,38.24775000,36.08889000,35.70790000,35.15817000,35.14135000,35.22716000,36.21479000,36.01178000,36.28574000,35.90830000,35.38254000,33.50634000,29.40203000,27.68300000,26.75731000,26.80649000,26.92921000,27.54998000,28.10815000,28.50108000,28.68016000,28.52498000,28.43612000,28.04018000,24.65385000
,2026-04-23,JKM,16.37174000,16.39747000,16.56432000,16.45069000,16.28344000,15.77511000,15.53013000,15.79251000,15.63613000,15.36620000,14.54841000,13.00228000,12.16173000,12.23914000,12.22709000,12.28134000,12.29608000,12.51734000,12.35610000,12.58702000,12.33637000,12.16157000,11.51275000,10.18249000,9.58890000,9.41564000,9.43873000,9.44149000,9.47164000,9.56129000,9.70704000,9.85304000,9.90731000,9.93337000,9.85029000,8.63324000
,2026-04-23,TTF,44.15000000,44.09000000,44.08000000,44.05796000,44.10277000,43.88675000,43.49543000,43.48864000,43.35199000,42.89431000,41.50959000,36.52275000,34.36389000,33.98290000,33.63317000,33.61635000,33.70216000,33.87729000,33.67428000,33.94824000,33.84580000,33.32004000,31.44384000,27.63075000,25.92028000,25.40713000,25.45227000,25.43954000,25.50447000,25.73805000,26.13000000,26.52195000,26.58306000,26.63612000,26.38109000,22.92885000
,2026-04-22,THE,44.12500000,44.20000000,44.43172000,44.61142000,44.93099000,44.91014000,44.74699000,44.96251000,44.83223000,44.38030000,43.01298000,38.27126000,36.11101000,35.72978000,35.21565000,35.19879000,35.28475000,36.20478000,36.00183000,36.27570000,35.88255000,35.35719000,33.48242000,29.53657000,27.80922000,26.87916000,27.05634000,27.18020000,27.80679000,28.19455000,28.58879000,28.76854000,28.66344000,28.57417000,28.17623000,24.51480000
,2026-04-22,TTF,43.61500000,43.55000000,43.58500000,43.54142000,43.63004000,43.31550000,42.97199000,43.00838000,42.80723000,42.35530000,40.98798000,36.54626000,34.38601000,34.00478000,33.69065000,33.67379000,33.75975000,33.86728000,33.66433000,33.93820000,33.82005000,33.29469000,31.41992000,27.76463000,26.04586000,25.53023000,25.70464000,25.69178000,25.75736000,25.82424000,26.21750000,26.61076000,26.72084000,26.77417000,26.51782000,22.78980000
,2026-04-22,JKM,16.19767000,16.22143000,16.40327000,16.28184000,16.12972000,15.58715000,15.35845000,15.63582000,15.45652000,15.18835000,14.37592000,13.01805000,12.17651000,12.25375000,12.25405000,12.30815000,12.32312000,12.52050000,12.35948000,12.59016000,12.33402000,12.15929000,11.51048000,10.23487000,9.63813000,9.46397000,9.53267000,9.53561000,9.56606000,9.59700000,9.74341000,9.89005000,9.96170000,9.98803000,9.90451000,8.58893000
,2026-04-21,THE,42.91500000,43.02500000,43.18656000,43.23111000,43.67276000,43.59743000,43.51271000,43.67110000,43.57886000,43.15130000,41.68932000,37.16505000,35.07166000,34.70223000,34.32360000,34.30721000,34.39082000,35.22349000,35.02672000,35.29226000,34.96435000,34.45403000,32.63293000,29.06699000,27.36870000,26.45388000,26.61602000,26.73787000,27.35419000,27.83906000,28.22789000,28.40494000,28.32609000,28.23783000,27.84477000,24.52190000
,2026-04-21,TTF,42.34500000,42.30000000,42.25000000,42.20775000,42.29366000,41.94752000,41.68771000,41.67211000,41.50386000,41.07630000,39.61432000,35.41505000,33.32166000,32.95223000,32.77360000,32.75721000,32.84082000,32.83599000,32.63922000,32.90476000,32.85185000,32.34153000,30.52043000,27.29738000,25.60754000,25.10059000,25.25986000,25.24723000,25.31167000,25.46964000,25.85750000,26.24536000,26.38517000,26.43783000,26.18470000,22.79690000
,2026-04-21,JKM,14.59519000,16.02512000,15.97707000,15.85556000,15.72753000,15.19836000,14.99825000,15.23227000,14.86912000,14.68396000,13.88724000,12.70502000,11.98476000,11.91557000,11.96291000,12.00211000,12.08615000,12.06425000,12.05497000,12.21316000,12.02468000,11.85471000,11.22288000,10.09603000,9.50792000,9.33632000,9.39982000,9.40271000,9.43281000,9.49604000,9.64089000,9.78596000,9.86831000,9.89439000,9.81178000,8.61365000
,2026-04-20,JKM,13.77630000,15.26696000,15.19424000,15.00987000,14.91148000,14.40550000,14.30281000,14.60011000,14.24084000,14.09026000,13.05279000,12.26212000,11.56773000,11.62800000,11.59152000,11.67066000,11.63360000,11.77495000,11.61761000,11.84263000,11.66823000,11.50365000,10.89147000,9.97260000,9.39204000,9.22265000,9.28121000,9.28409000,9.31376000,9.39007000,9.53320000,9.67657000,9.74296000,9.76875000,9.68720000,8.78792000
,2026-04-20,TTF,39.84500000,39.80500000,39.73012000,39.71025000,39.81161000,39.53476000,39.42728000,39.58014000,39.72499000,39.32754000,37.32594000,34.03304000,32.02134000,31.66632000,31.60669000,31.59088000,31.67151000,31.76215000,31.57182000,31.82867000,31.73173000,31.23881000,29.47980000,26.85638000,25.19384000,24.69508000,24.84007000,24.82765000,24.89102000,25.08549000,25.46750000,25.84951000,25.94429000,25.99607000,25.74717000,23.20798000
,2026-04-20,THE,40.49000000,40.59500000,40.71660000,40.77853000,41.21557000,41.20677000,41.26478000,41.58331000,41.78749000,41.39004000,39.38844000,35.78304000,33.77134000,33.41632000,33.15669000,33.14088000,33.22151000,34.09965000,33.90932000,34.16617000,33.79423000,33.30131000,31.54230000,28.62378000,26.95293000,26.05249000,26.20042000,26.32038000,26.92702000,27.45395000,27.83692000,28.01104000,27.88301000,27.79607000,27.40943000,24.93298000
,2026-04-17,JKM,14.84089000,14.80814000,14.79314000,14.77888000,14.57994000,14.13513000,13.99484000,14.31731000,14.03209000,13.88541000,12.85935000,12.12206000,11.43605000,11.49754000,11.49369000,11.57274000,11.53537000,11.67682000,11.51994000,11.74415000,11.59729000,11.43386000,10.82549000,9.90272000,9.32614000,9.15771000,9.21304000,9.21560000,9.24473000,9.33095000,9.47279000,9.61489000,9.68194000,9.70718000,9.62590000,8.78673000
,2026-04-17,THE,39.41500000,39.48500000,39.84554000,39.90615000,40.33378000,40.55837000,40.63504000,40.96790000,41.17284000,40.78205000,38.81394000,35.29040000,33.30635000,32.95621000,32.83936000,32.82372000,32.90348000,33.83172000,33.64345000,33.89752000,33.60400000,33.11520000,31.37089000,28.37052000,26.71535000,25.82312000,25.96294000,26.08182000,26.68292000,27.24165000,27.62138000,27.79388000,27.66650000,27.58021000,27.19671000,24.89238000
,2026-04-17,TTF,38.74000000,38.73500000,38.85556000,38.83613000,38.93526000,38.83375000,38.74754000,38.91718000,39.06034000,38.66955000,36.70144000,33.56540000,31.58135000,31.23121000,31.26436000,31.24872000,31.32848000,31.41922000,31.23095000,31.48502000,31.46650000,30.97770000,29.23339000,26.60438000,24.95744000,24.46336000,24.60019000,24.58789000,24.65065000,24.87371000,25.25250000,25.63129000,25.72886000,25.78021000,25.53337000,23.16738000
,2026-04-16,THE,43.17000000,43.15000000,43.39819000,43.42053000,43.84115000,44.02916000,43.99637000,44.24088000,44.34946000,43.92714000,41.80022000,37.72150000,35.20482000,34.41769000,34.49678000,34.51322000,34.50500000,35.17841000,34.98206000,35.24702000,34.93785000,34.42833000,32.61008000,29.02742000,27.33158000,26.41804000,26.38618000,26.73304000,27.54840000,27.77981000,28.16774000,28.34434000,28.21532000,28.12739000,27.73594000,25.60288000
,2026-04-16,JKM,16.10829000,16.17978000,16.20044000,16.08634000,15.91606000,15.37983000,15.17227000,15.43575000,15.09734000,14.93874000,13.85857000,12.92165000,12.05158000,11.96060000,12.02553000,12.11611000,12.04783000,12.11752000,11.95794000,12.18588000,12.03380000,11.86340000,11.23106000,10.10445000,9.51555000,9.34360000,9.33754000,9.42075000,9.52020000,9.49454000,9.63913000,9.78393000,9.84861000,9.87442000,9.79168000,9.01540000
,2026-04-16,TTF,42.49500000,42.42500000,42.42877000,42.40755000,42.51580000,42.29349000,42.08387000,42.15213000,42.21196000,41.78964000,39.66272000,35.94650000,33.42982000,32.64269000,32.87178000,32.88822000,32.88000000,32.76591000,32.56956000,32.83452000,32.80035000,32.29083000,30.47258000,27.25800000,25.57060000,25.06438000,25.02771000,25.24237000,25.50292000,25.41054000,25.79750000,26.18446000,26.27495000,26.32739000,26.07532000,23.87788000
,2026-04-15,JKM,15.72973000,15.72907000,15.86879000,15.67915000,15.46735000,14.89195000,14.74652000,14.97333000,14.58018000,14.42605000,13.37145000,12.50145000,11.66021000,11.57804000,11.64152000,11.73143000,11.66280000,11.77282000,11.61508000,11.83966000,11.68802000,11.52282000,10.90915000,9.97965000,9.39831000,9.22855000,9.20295000,9.28487000,9.38280000,9.40729000,9.55043000,9.69381000,9.74381000,9.76929000,9.68752000,8.94919000
,2026-04-15,THE,41.93500000,41.97500000,42.21921000,42.16894000,42.53429000,42.59332000,42.59241000,42.79897000,42.75892000,42.35251000,40.30574000,36.42901000,34.00282000,33.24399000,33.31957000,33.33543000,33.32750000,34.11708000,33.92709000,34.18348000,33.87695000,33.38391000,31.62447000,28.60532000,26.93561000,26.03576000,25.94959000,26.29048000,27.09207000,27.49629000,27.87953000,28.05359000,27.88044000,27.79346000,27.40710000,25.38428000
,2026-04-15,TTF,41.28500000,41.22500000,41.28624000,41.19344000,41.25565000,40.85187000,40.67991000,40.71595000,40.62142000,40.21501000,38.16824000,34.65401000,32.22782000,31.46899000,31.69457000,31.71043000,31.70250000,31.70458000,31.51459000,31.77098000,31.73945000,31.24641000,29.48697000,26.83800000,25.17660000,24.67818000,24.58671000,24.79760000,25.05355000,25.10273000,25.48500000,25.86728000,25.91673000,25.96846000,25.71982000,23.63428000
,2026-04-14,THE,43.57000000,43.61000000,43.65830000,43.50578000,43.91326000,43.94134000,43.94005000,44.15321000,43.86600000,43.44826000,41.34445000,36.97471000,34.51206000,33.74183000,33.73198000,33.74802000,33.74000000,34.48751000,34.29545000,34.55463000,34.15430000,33.65734000,31.88391000,28.34276000,26.68775000,25.79599000,25.70410000,26.04184000,26.83595000,27.27202000,27.65146000,27.82344000,27.67143000,27.58503000,27.20193000,25.36651000
,2026-04-14,TTF,42.89500000,42.86000000,42.69265000,42.59669000,42.66102000,42.23031000,42.05255000,42.08981000,41.75350000,41.33576000,39.23195000,35.17471000,32.71206000,31.94183000,32.08198000,32.09802000,32.09000000,32.05001000,31.85795000,32.11713000,31.99180000,31.49484000,29.72141000,26.60175000,24.95498000,24.46094000,24.36374000,24.57271000,24.82634000,24.85401000,25.23250000,25.61099000,25.68377000,25.73503000,25.48863000,23.61651000
